run_id,label,status,fate,seed,m,s,f,k,p,W,pred,osc,comp,ctrl,ticks,events,flight,front,height,max_width,d_front,d_span,d_s,D_causal,transient,hold,c1_target,c1b_decade,c2_stat,c3_spec,c4_caus
camp-filament-predicate_hamming-fda64fa700,camp-filament-predicate_hamming,stalled,gel,vee,32,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,11021,9260,3,2,5174,3,,,,0.9904275809229885,,,False,False,False,False,False
camp-filament-s_10-b8d0827896,camp-filament-s_10,stalled,gel,vee,32,10,2,2,3,16,hamming,rot_birth,fold_rot_xor,,4529,69,4,3,51,2,,,,0.9796723835834966,,,False,False,False,False,False
camp-filament-s_12-38b15fad00,camp-filament-s_12,stalled,gel,vee,32,12,2,2,3,16,hamming,rot_birth,fold_rot_xor,,5264,915,4,3,585,3,,,,1.0083048680096904,,,False,False,False,False,False
camp-filament-s_13-45b6711a41,camp-filament-s_13,stalled,gel,vee,32,13,2,2,3,16,hamming,rot_birth,fold_rot_xor,,6824,2602,3,2,1684,3,,,,1.0139604916791813,,,False,False,False,False,False
camp-filament-s_14-fda64fa700,camp-filament-s_14,stalled,gel,vee,32,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,11021,9260,3,2,5174,3,,,,0.9904275809229885,,,False,False,False,False,False
camp-filament-s_15-8e7572facf,camp-filament-s_15,completed,soutenu,vee,32,15,2,2,3,16,hamming,rot_birth,fold_rot_xor,,20000,42293,6,4,18636,3,,0.0,,1.02480650802571,,,False,False,False,False,False
camp-filament-s_16-08a0dc9df1,camp-filament-s_16,completed,soutenu,vee,32,16,2,2,3,16,hamming,rot_birth,fold_rot_xor,,20000,45136,6,3,19388,3,,,,1.0333743289646036,,,False,False,False,False,False
camp-filament-s_18-4062237e1b,camp-filament-s_18,completed,soutenu,vee,32,18,2,2,3,16,hamming,rot_birth,fold_rot_xor,,20000,43885,6,4,19968,3,,0.0,,1.0367193057541397,,,False,False,False,False,False
camp-filament-s_20-b15b538311,camp-filament-s_20,completed,soutenu,vee,32,20,2,2,3,16,hamming,rot_birth,fold_rot_xor,,20000,41206,6,3,20000,3,,,,1.0202451808172617,,,False,False,False,False,False
camp-filament-s_24-4c7971b2af,camp-filament-s_24,completed,soutenu,vee,32,24,2,2,3,16,hamming,rot_birth,fold_rot_xor,,20000,40037,6,3,20001,3,,,,1.0238166046687718,,,False,False,False,False,False
